Country,Visa_Waiver,Other,Student_exchange_visitors,Temporary workers and families,Diplomats and other representatives,All other classes,Unknown
Afghanistan,X,"1,961",544,48,685,100,41
Albania,X,"17,595","1,812",466,519,295,26
Algeria,X,"13,279",764,342,712,89,38
Andorra,"1,692",56,77,70,D,D,-
Angola,X,"6,400","1,366",272,750,43,33
Antigua and Barbuda,X,"15,846",408,151,338,54,76
Argentina,X,"1,102,041","12,515","22,961","5,808","1,410","1,670"
Armenia,X,"12,066",696,678,649,175,8
Australia6,"1,412,605","32,782","18,412","86,076","12,086","1,839",191
Austria,"206,643","8,911","6,372","8,870","2,229",418,30
Azerbaijan,X,"6,879","1,209",266,588,60,5
Bahamas,X,"283,979","7,601",696,"1,340",948,529
Bahrain,X,"7,061","1,006",89,447,11,-
Bangladesh,X,"33,710","7,655",895,"2,442",587,62
Barbados,X,"67,187",791,491,663,280,21
Belarus,X,"20,477","1,184","1,592",361,603,12
Belgium,"303,669","7,863","5,864","13,609","3,888",378,41
Belize,X,"29,552",828,228,874,"1,151",16
Benin,X,"2,282",288,77,573,20,3
Bhutan,X,729,226,D,235,22,D
Bolivia,X,"71,554","2,653","1,038","1,274",589,57
Bosnia and Herzegovina,X,"8,510","1,174",279,478,857,17
Botswana,X,"2,204",331,123,419,100,8
Brazil,X,"2,376,392","73,696","61,810","10,379","5,524","2,012"
Brunei,"1,086",148,122,D,208,D,-
Bulgaria,X,"32,800","6,200","2,345","1,094","2,840",48
Burkina Faso,X,"4,062",417,86,617,37,8
Burma,X,"7,815","2,159",156,323,"1,083",13
Burundi,X,"1,040",184,10,218,17,6
Cabo Verde,X,"4,471",95,85,126,113,23
Cambodia,X,"4,944",864,91,494,431,14
Cameroon,X,"11,531","1,026",339,"1,316",171,22
Canada,X,"12,304,744","212,144","1,077,714","16,749","91,714","1,790"
Central African Republic,X,249,47,13,118,D,D
Chad,X,521,84,11,295,4,3
Chile,"315,703","111,319","10,386","11,384","3,919","1,980",66
"China, People's Republic7,8","2,983","2,625,021","657,996","108,751","8,592","11,803","5,659"
Colombia,X,"985,010","32,210","22,664","9,821","4,973",931
Comoros,X,83,11,-,86,-,-
"Congo, Democratic Republic",X,"7,606",734,132,"1,057",67,24
"Congo, Republic",X,"1,280",141,30,284,16,10
Costa Rica,X,"323,113","4,375","5,714","1,649","1,070",36
Cote d'Ivoire,X,"6,991","1,243",163,"1,054",88,10
Croatia,X,"28,846","2,442","1,672",738,"3,928",20
Cuba,X,"70,760",260,970,718,271,"4,736"
Cyprus,X,"10,982","1,097",417,247,59,7
Czechia,"122,434","6,503","6,249","4,574","1,492",324,23
Denmark9,"338,063","8,906","7,004","12,114","4,549",605,69
Djibouti,X,232,28,D,173,D,5
Dominica,X,"5,238",453,174,162,262,4
Dominican Republic,X,"463,131","10,131","7,525","1,915","3,216",577
Ecuador,X,"449,285","10,277","2,784","2,334","1,363",393
Egypt,X,"84,731","7,950","4,238","3,959",455,46
El Salvador,X,"215,425","3,043","2,562","1,929","1,737",437
Equatorial Guinea,X,"1,082",309,D,413,D,D
Eritrea,X,"1,339",125,7,82,65,16
Estonia,"23,878","1,191","1,043",817,856,D,D
Eswatini (formerly Swaziland),X,872,205,44,173,12,23
Ethiopia,X,"21,741","2,061",480,"1,199",420,85
Fiji,X,"10,906",156,58,451,758,16
Finland,"150,440","3,339","3,799","7,143","2,974",298,30
France10,"2,022,153","35,911","53,480","105,368","15,724","2,996",585
Gabon,X,"1,853",307,17,348,13,10
Gambia,X,"1,690",147,53,354,46,21
Georgia,X,"8,283","1,637",462,"1,046",708,55
Germany,"2,130,453","73,355","55,791","95,605","21,037","4,790",671
Ghana,X,"27,266","3,765",997,"1,883",317,67
Greece,"82,453","10,627","6,633","4,831","1,694","2,621",38
Grenada,X,"11,758",326,182,376,605,6
Guatemala,X,"290,038","3,536","9,844","2,303","1,063",529
Guinea,X,"2,939",108,54,379,33,9
Guinea-Bissau,X,133,22,D,111,D,3
Guyana,X,"62,949",490,115,517,"1,197",31
Haiti,X,"140,111","1,591",725,"1,629","2,099",170
Holy See,X,27,D,-,117,3,D
Honduras,X,"221,720","4,809","3,246","1,361","5,426",365
Hungary,"98,060","4,770","4,809","4,158","1,553",602,27
Iceland,"68,724","4,357","1,577","1,036",438,634,18
India,X,"1,377,406","196,357","592,797","9,159","46,407","1,037"
Indonesia,X,"106,157","13,690","2,127","4,375","26,677",73
Iran,X,"4,186","4,870",94,291,84,57
Iraq,X,"14,962",936,110,808,143,32
Ireland,"576,099","11,839","13,704","26,211","2,194",681,211
Israel,X,"453,620","14,897","22,947","11,548",688,218
Italy,"1,315,270","37,829","32,776","55,269","9,984","5,440",298
Jamaica,X,"330,222","14,450","17,598","1,480","6,464",194
Japan,"3,509,759","25,432","65,143","188,630","16,202","4,336",328
Jordan,X,"41,141","4,978","1,377","5,304",340,63
Kazakhstan,X,"24,090","6,599",864,"1,193",94,13
Kenya,X,"31,084","3,673","1,057","3,098",763,33
Kiribati,X,185,50,19,147,478,7
"Korea, North",X,D,16,D,47,-,D
"Korea, South","2,290,705","68,110","124,047","48,228","7,917","2,496",323
Kosovo,X,"3,554",844,113,476,D,D
